"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brunei Darussalam","BRN","Rural population","SP.RUR.TOTL","48305","49054","49668","50200","50653","51016","51267","51403","51416","51323","51104","50735","52179","53829","55490","57167","58854","60556","62284","64050","65868","67742","69721","71805","73962","76193","78491","80836","83196","85563","87908","90174","91331","92236","93051","93785","94437","95011","95501","95926","96291","96595","97130","97642","98067","98416","98686","98884","99019","99108","99168","99132","98991","98821","98614","98351","98021","97621","97151","96625","96075","95515",
"Bhutan","BTN","Rural population","SP.RUR.TOTL","213309","218460","224083","230136","236443","243058","249985","257210","264733","272572","280694","289031","297574","306351","315333","324524","333941","343577","353402","363308","373183","383008","392745","402472","412184","421825","431381","440829","450069","459068","466925","470285","447882","422967","418838","419196","422169","424362","426900","431766","437951","443498","448376","452565","456066","457925","459756","460301","460496","460398","460046","459492","458857","458114","457145","455790","454145","452410","450437","448104","445612","443105",
"Botswana","BWA","Rural population","SP.RUR.TOTL","497171","508162","519616","531631","543618","549055","549349","549069","548208","546780","545848","549779","565852","589017","614736","641423","669050","697446","726325","755392","783910","810255","823635","830297","833841","834397","831581","824952","813937","798601","778954","755290","760882","770817","779843","787547","793774","798714","802600","805655","807901","809395","815528","821559","827516","833895","840915","827547","814089","800400","786215","771134","766446","763364","760210","757133","754349","751776","749004","745611","741589","736148",
"Central African Republic","CAF","Rural population","SP.RUR.TOTL","1342103","1355446","1369293","1383671","1398573","1414264","1430768","1448146","1465344","1482885","1498998","1512565","1523940","1534213","1544113","1553733","1563147","1571584","1579962","1588469","1597125","1606136","1615511","1625206","1635303","1645916","1656934","1668592","1686148","1723162","1774725","1828497","1885177","1944061","2003592","2056756","2108555","2165211","2222804","2282516","2344256","2394525","2444784","2501313","2552785","2606573","2654210","2698020","2747080","2798337","2847115","2880145","2893196","2897641","2881208","2878250","2912198","2949077","2987375","3033389","3088372","3129787",
"Canada","CAN","Rural population","SP.RUR.TOTL","5540976","5541960","5492247","5441341","5390322","5334312","5284252","5275481","5256115","5223145","5191541","5251122","5338874","5431539","5535266","5644413","5744499","5802629","5851095","5899610","5966378","6028261","6059713","6079070","6095759","6110627","6133043","6209133","6284808","6393132","6484711","6555149","6557450","6553895","6550090","6541741","6528757","6477628","6415815","6352957","6297326","6263120","6307139","6339248","6373758","6409413","6444858","6447564","6457255","6470872","6482352","6491507","6548144","6603314","6655859","6691082","6752474","6815687","6890028","6962996","7013300","7017013",
"Central Europe and the Baltics","CEB","Rural population","SP.RUR.TOTL","50720764","50536773","50348488","50171639","50000758","49742764","49510175","49426266","49295856","49091160","48793751","48396177","48024446","47658493","47314974","47012972","46707268","46339977","45887515","45447656","45060451","44818701","44644943","44450473","44239869","44012261","43785677","43556426","43287672","43009719","42755874","42416617","42179934","42184309","42207856","42177731","42110439","42058345","42019601","41982938","41778237","41454011","41119861","40941382","40780148","40611197","40443275","40210586","39979949","39838803","39652932","39519532","39410425","39310807","39210929","39092740","38947818","38785967","38622475","38462796","38254752","37844689",
"Switzerland","CHE","Rural population","SP.RUR.TOTL","1549119","1562740","1586363","1603842","1613632","1615391","1615259","1618201","1621354","1622399","1616732","1615981","1624969","1633603","1639000","1634860","1622138","1613257","1610009","1609847","1612903","1622449","1635792","1646672","1656461","1667607","1680210","1694724","1711247","1729128","1751004","1776902","1800314","1820462","1838809","1854939","1866968","1875299","1884719","1897587","1912232","1924949","1937671","1950193","1961798","1972472","1982943","1998781","2022351","2045843","2065228","2086420","2106933","2129601","2153942","2176779","2198922","2217678","2231010","2242521","2253266","2263233",
"Channel Islands","CHI","Rural population","SP.RUR.TOTL","66931","67859","68803","69796","70832","71902","73009","74141","75255","76311","77335","78424","79690","80916","82087","83188","84130","84882","85547","86172","86762","87504","88280","89168","90062","90970","91922","93059","94229","95375","96464","97303","97880","98336","98720","99047","99457","99887","100325","100717","101039","101508","102197","102920","103658","104414","105166","105929","106697","107460","108199","108751","109355","110215","111037","111973","113082","114140","115553","117010","118131","119131",
"Chile","CHL","Rural population","SP.RUR.TOTL","2618735","2605462","2593783","2579490","2563235","2545927","2526141","2504476","2481648","2457818","2432828","2407932","2381414","2354414","2327253","2299628","2270967","2241691","2212402","2182301","2151396","2120606","2098649","2112777","2126829","2141835","2158126","2175793","2194318","2213091","2232128","2251554","2265258","2254300","2242018","2228116","2212638","2195921","2177977","2158389","2138045","2117005","2102026","2114813","2126385","2137891","2149303","2160915","2172821","2185486","2197958","2209895","2221654","2233216","2245732","2258784","2274590","2297909","2325712","2352709","2368728","2374855",
"China","CHN","Rural population","SP.RUR.TOTL","558984648","550002064","551084460","561172774","570563019","585836641","603653090","620353282","637762514","656497738","675928190","695661123","713898765","730387430","744661478","756942270","768187399","778161684","785011465","788605339","791287529","793935216","797806157","802837860","806618745","810625110","815464944","821058949","826508924","831145763","835019382","836478966","836448460","835478607","833998460","831819843","828956742","825589438","821328874","815968942","809645853","800082679","788406300","775926016","762817902","749352182","735901746","722214159","708173810","693852712","679206337","665644371","653193546","640545579","627502483","614037700","600413466","586968786","572999405","558762145","544289492","529465517",
"Cote d'Ivoire","CIV","Rural population","SP.RUR.TOTL","3053007","3120577","3190233","3259698","3327151","3392132","3493774","3597544","3703798","3815028","3934574","4064170","4202793","4348061","4497735","4645011","4743175","4821596","4897719","5068578","5245600","5427828","5614050","5803509","5994809","6186694","6378760","6574473","6779637","6995146","7224338","7456690","7691691","7928480","8166122","8406810","8651518","8900084","9143976","9359495","9549772","9731963","9905989","10072928","10233634","10389228","10540282","10687487","10832602","10977824","11123926","11266407","11407712","11550777","11724514","11929568","12135625","12343003","12548396","12749807","12948486","13140099",
"Cameroon","CMR","Rural population","SP.RUR.TOTL","4404367","4446928","4505189","4578268","4653047","4729599","4807946","4888219","4970685","5055576","5142871","5196903","5248261","5296327","5339904","5378514","5419066","5499179","5587339","5680429","5800257","5936564","6006023","6054858","6147291","6251977","6358469","6475177","6615954","6755332","6897519","7038954","7178072","7317374","7454267","7587053","7715671","7841217","7966361","8092667","8218580","8344821","8476132","8612515","8750977","8889630","9027795","9172293","9322821","9475331","9629119","9781923","9933947","10086749","10263161","10452804","10627790","10787396","10939982","11094657","11242817","11383170",
"Congo, Dem. Rep.","COD","Rural population","SP.RUR.TOTL","11869886","12143190","12426661","12722820","13029098","13351774","13695646","14057457","14431837","14810716","15192795","15566405","15936123","16318093","16707233","17100273","17488626","17872890","18369444","18955899","19478111","19954395","20435512","20930134","21483614","22018032","22547051","23111434","23700974","24307775","24963478","25639500","26255327","26936348","28066253","29071603","29432032","29698292","30199714","30858750","31541294","32275201","33035311","33771747","34533832","35354649","36213541","37096081","37987272","38889275","39826123","40819082","41830525","42880818","43963777","45038943","46165664","47299773","48368317","49407432","50476837","51557473",
"Congo, Rep.","COG","Rural population","SP.RUR.TOTL","722083","733288","744773","756630","768864","781522","794569","807944","821673","835856","850361","865262","880545","896046","910921","921923","929686","936847","943317","948972","953829","958072","961418","963570","969642","985468","1006293","1027267","1048139","1069025","1089571","1110007","1130347","1152329","1174564","1195290","1215868","1227670","1240483","1260028","1294511","1329105","1345222","1367258","1398321","1432848","1470379","1507638","1539899","1583690","1630656","1663520","1688807","1707832","1726498","1745035","1763468","1781812","1800121","1817563","1834446","1850943",
